162.159.198.1:443#麒麟优选 | 09-10 13:14 | BestCF.pages.dev
172.64.145.208:443#麒麟优选 | 电信 | 172.64.145.208 | 44.94ms | 51.44mb/s
104.18.35.128:443#麒麟优选 | 电信 | 104.18.35.128 | 45.18ms | 25.60mb/s
104.18.40.51:443#麒麟优选 | 电信 | 104.18.40.51 | 43.97ms | 1.12mb/s
172.64.153.24:443#麒麟优选 | 电信 | 172.64.153.24 | 44.30ms | 0.83mb/s
104.18.43.179:443#麒麟优选 | 电信 | 104.18.43.179 | 44.83ms | 0.74mb/s
104.18.37.6:443#麒麟优选 | 电信 | 104.18.37.6 | 44.08ms | 0.53mb/s
104.18.39.224:443#麒麟优选 | 电信 | 104.18.39.224 | 45.12ms | 0.43mb/s
172.64.148.126:443#麒麟优选 | 电信 | 172.64.148.126 | 45.16ms | 0.38mb/s
172.64.158.31:443#麒麟优选 | 电信 | 172.64.158.31 | 45.68ms | 0.33mb/s
104.18.44.70:443#麒麟优选 | 电信 | 104.18.44.70 | 44.55ms | 0.32mb/s
162.159.144.177:443#麒麟优选 | 联通 | 162.159.144.177 | 67.13ms | 9.02mb/s
172.67.72.38:443#麒麟优选 | 联通 | 172.67.72.38 | 65.94ms | 9.01mb/s
172.67.78.124:443#麒麟优选 | 联通 | 172.67.78.124 | 64.23ms | 6.65mb/s
162.159.154.131:443#麒麟优选 | 联通 | 162.159.154.131 | 67.55ms | 4.57mb/s
172.67.67.213:443#麒麟优选 | 联通 | 172.67.67.213 | 66.67ms | 4.48mb/s
162.159.156.238:443#麒麟优选 | 联通 | 162.159.156.238 | 66.36ms | 4.38mb/s
104.20.30.205:443#麒麟优选 | 联通 | 104.20.30.205 | 67.44ms | 4.05mb/s
104.20.17.121:443#麒麟优选 | 联通 | 104.20.17.121 | 65.57ms | 2.97mb/s
162.159.153.204:443#麒麟优选 | 联通 | 162.159.153.204 | 67.31ms | 2.35mb/s
104.20.26.26:443#麒麟优选 | 联通 | 104.20.26.26 | 67.84ms | 2.23mb/s
172.66.0.132:443#麒麟优选 | 移动 | 172.66.0.132 | 99.48ms | 16.03mb/s
172.66.1.75:443#麒麟优选 | 移动 | 172.66.1.75 | 97.39ms | 11.95mb/s
104.25.242.205:443#麒麟优选 | 移动 | 104.25.242.205 | 99.75ms | 11.39mb/s
104.25.244.168:443#麒麟优选 | 移动 | 104.25.244.168 | 98.81ms | 10.74mb/s
104.18.38.127:443#麒麟优选 | 移动 | 104.18.38.127 | 98.62ms | 6.82mb/s
104.17.99.153:443#麒麟优选 | 移动 | 104.17.99.153 | 88.55ms | 0.32mb/s
104.17.158.40:443#麒麟优选 | 移动 | 104.17.158.40 | 75.44ms | 0.30mb/s
104.17.213.252:443#麒麟优选 | 移动 | 104.17.213.252 | 91.45ms | 0.30mb/s
104.18.44.187:443#麒麟优选 | 移动 | 104.18.44.187 | 96.30ms | 0.21mb/s
104.17.154.58:443#麒麟优选 | 移动 | 104.17.154.58 | 94.57ms | 0.11mb/s
172.64.155.67:443#麒麟优选 | 多线 | 172.64.155.67 | 70.37ms | 14.47mb/s
172.64.229.23:443#麒麟优选 | 多线 | 172.64.229.23 | 48.67ms | 14.07mb/s
104.18.37.4:443#麒麟优选 | 多线 | 104.18.37.4 | 71.27ms | 0.41mb/s
172.64.152.154:443#麒麟优选 | 多线 | 172.64.152.154 | 70.41ms | 0.40mb/s
172.64.145.242:443#麒麟优选 | 多线 | 172.64.145.242 | 67.07ms | 0.27mb/s
104.18.44.24:443#麒麟优选 | 多线 | 104.18.44.24 | 68.85ms | 0.19mb/s
172.64.154.41:443#麒麟优选 | 多线 | 172.64.154.41 | 70.81ms | 0.16mb/s
172.64.149.168:443#麒麟优选 | 多线 | 172.64.149.168 | 71.99ms | 0.14mb/s
172.64.147.24:443#麒麟优选 | 多线 | 172.64.147.24 | 69.40ms | 0.10mb/s
104.18.47.8:443#麒麟优选 | 多线 | 104.18.47.8 | 72.03ms | 0.10mb/s
162.159.197.1:443#麒麟优选 | 分享免费优选网 BestCF.pages.dev
